,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
0,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloaty-adpti,aflplusplus,bloaty_fuzz_target,2024-01-24 15:34:39.927727,2024-01-25 15:44:54.686547,801,0,465,,,0
30,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloaty-adpti,aflplusplus,bloaty_fuzz_target,2024-01-24 15:34:39.927727,2024-01-25 15:44:54.686547,801,900,4379,,,0
60,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloaty-adpti,aflplusplus,bloaty_fuzz_target,2024-01-24 15:34:39.927727,2024-01-25 15:44:54.686547,801,1800,4379,,,0
91,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloaty-adpti,aflplusplus,bloaty_fuzz_target,2024-01-24 15:34:39.927727,2024-01-25 15:44:54.686547,801,2700,4379,,,0
123,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloaty-adpti,aflplusplus,bloaty_fuzz_target,2024-01-24 15:34:39.927727,2024-01-25 15:44:54.686547,801,3600,4379,,,0
151,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloaty-adpti,aflplusplus,bloaty_fuzz_target,2024-01-24 15:34:39.927727,2024-01-25 15:44:54.686547,801,4500,4379,,,0
181,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloaty-adpti,aflplusplus,bloaty_fuzz_target,2024-01-24 15:34:39.927727,2024-01-25 15:44:54.686547,801,5400,4379,,,0
211,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloaty-adpti,aflplusplus,bloaty_fuzz_target,2024-01-24 15:34:39.927727,2024-01-25 15:44:54.686547,801,6300,4379,,,0
241,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloaty-adpti,aflplusplus,bloaty_fuzz_target,2024-01-24 15:34:39.927727,2024-01-25 15:44:54.686547,801,7200,4398,,,0
271,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloaty-adpti,aflplusplus,bloaty_fuzz_target,2024-01-24 15:34:39.927727,2024-01-25 15:44:54.686547,801,8100,4398,,,0
301,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloaty-adpti,aflplusplus,bloaty_fuzz_target,2024-01-24 15:34:39.927727,2024-01-25 15:44:54.686547,801,9000,4398,,,0
330,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloaty-adpti,aflplusplus,bloaty_fuzz_target,2024-01-24 15:34:39.927727,2024-01-25 15:44:54.686547,801,9900,4398,,,0
360,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloaty-adpti,aflplusplus,bloaty_fuzz_target,2024-01-24 15:34:39.927727,2024-01-25 15:44:54.686547,801,10800,4398,,,0
